Pixel,run_numbers,Source,Centered 
11,8655,Bi-207-9177 Y2-744,Yes
11,8709,Bi-207-9177 Y2-744,Yes
11,8855,Bi-207-9177 Y2-744,Yes
12,8646,Bi-207-9177 Y2-744,Yes
12,8848,Bi-207-9177 Y2-744,Yes
17,8631,Bi-207-9176 Y2-743,Yes
17,8647,Bi-207-9176 Y2-743,No
17,8690,Bi-207-9176 Y2-743,Yes
17,8828,Bi-207-9176 Y2-743,No
17,8839,Bi-207-9176 Y2-743,Yes
17,8847,Bi-207-9176 Y2-743,No
19,8643,Bi-207-9177 Y2-744,Yes
19,8696,Bi-207-9177 Y2-744,Yes
19,8859,Bi-207-9177 Y2-744,Yes
20,8625,Bi-207-9177 Y2-744,Yes
20,8684,Bi-207-9177 Y2-744,Yes
20,8832,Bi-207-9177 Y2-744,Yes
21,8631,Bi-207-9177 Y2-744,Yes
21,8839,Bi-207-9177 Y2-744,Yes
26,8624,Bi-207-9176 Y2-743,Yes
26,8630,Bi-207-9176 Y2-743,No
26,8683,Bi-207-9176 Y2-743,Yes
26,8689,Bi-207-9176 Y2-743,No
26,8828,Bi-207-9176 Y2-743,No
26,8834,Bi-207-9176 Y2-743,Yes
26,8840,Bi-207-9176 Y2-743,No
26,8847,Bi-207-9176 Y2-743,No
28,8637,Bi-207-9177 Y2-744,No
28,8694,Bi-207-9177 Y2-744,No
28,8860,Bi-207-9177 Y2-744,No
29,8624,Bi-207-9177 Y2-744,No
29,8654,Bi-207-9177 Y2-744,Yes
29,8683,Bi-207-9177 Y2-744,No
29,8708,Bi-207-9177 Y2-744,Yes
29,8834,Bi-207-9177 Y2-744,No
29,8854,Bi-207-9177 Y2-744,Yes
30,8630,Bi-207-9177 Y2-744,No
30,8647,Bi-207-9177 Y2-744,Yes
30,8657,Bi-207-9177 Y2-744,No
30,8689,Bi-207-9177 Y2-744,No
30,8699,Bi-207-9177 Y2-744,No
30,8824,Bi-207-9177 Y2-744,No
30,8828,Bi-207-9177 Y2-744,Yes
30,8840,Bi-207-9177 Y2-744,No
30,8847,Bi-207-9177 Y2-744,Yes
31,8656,Bi-207-8890 X5-302,No
31,8710,Bi-207-8890 X5-302,No
31,8856,Bi-207-8890 X5-302,No
